"dt"#"longitude"#"latitude"#"speed"#"boat"
"2023-11-05 14:48:39"#"8.57206"#"47.2942"#"1.67"#"Lis_test_A"
"2023-11-05 14:48:55"#"8.57217"#"47.2942"#"2.22"#"Lis_test_A"
"2023-11-05 14:49:10"#"8.57223"#"47.2941"#"3.15"#"Lis_test_A"
"2023-11-05 14:49:26"#"8.57238"#"47.294"#"2.96"#"Lis_test_A"
"2024-02-03 11:16:44"#"8.56913"#"47.2943"#"0"#"Lis_test_B"
"2024-02-03 11:17:18"#"8.56914"#"47.2944"#"0"#"Lis_test_B"
"2024-02-03 11:17:42"#"8.56916"#"47.2944"#"0"#"Lis_test_B"
"2024-02-03 11:18:07"#"8.56915"#"47.2945"#"0"#"Lis_test_B"
"2024-02-03 12:17:02"#"8.53922"#"47.319"#"9.26"#"Lis_test_B"
"2024-02-03 14:52:42"#"8.53962"#"47.3171"#"12.59"#"Lis_test_B"
"2024-02-03 14:53:00"#"8.53959"#"47.3169"#"0"#"Lis_test_B"
"2024-02-03 14:53:19"#"8.53983"#"47.3169"#"11.85"#"Lis_test_B"
"2024-02-03 14:54:35"#"8.54622"#"47.3189"#"16.3"#"Lis_test_B"
"2024-02-03 14:55:12"#"8.54735"#"47.3158"#"11.85"#"Lis_test_B"
"2024-02-04 08:38:11"#"8.57432"#"47.2882"#"0"#"Lis_test_B"
"2024-02-04 08:41:12"#"8.58129"#"47.2714"#"17.59"#"Lis_test_B"
"2024-02-04 08:43:18"#"8.58901"#"47.2614"#"18.71"#"Lis_test_B"
"2024-02-04 08:46:24"#"8.60603"#"47.2478"#"2.96"#"Lis_test_B"
"2024-02-04 13:40:34"#"8.74507"#"47.1273"#"0.93"#"Lis_test_B"
"2024-02-04 13:40:53"#"8.74455"#"47.1272"#"8.7"#"Lis_test_B"
"2024-02-04 13:46:24"#"8.7231"#"47.1564"#"16.85"#"Lis_test_B"
"2024-02-04 13:49:32"#"8.71238"#"47.1767"#"2.04"#"Lis_test_B"
"2024-02-04 13:53:02"#"8.67709"#"47.1897"#"11.3"#"Lis_test_B"
"2024-02-04 13:55:59"#"8.68575"#"47.2035"#"12.41"#"Lis_test_B"
"2024-02-04 15:11:30"#"8.57734"#"47.2946"#"9.82"#"Lis_test_B"
"2024-02-04 15:11:47"#"8.57794"#"47.2947"#"11.3"#"Lis_test_B"
"2024-02-04 15:12:02"#"8.57855"#"47.2948"#"10.93"#"Lis_test_B"
"2024-02-04 15:12:18"#"8.57903"#"47.2949"#"8.89"#"Lis_test_B"
"2024-02-04 15:12:34"#"8.57957"#"47.295"#"10.19"#"Lis_test_B"
"2024-02-04 15:12:51"#"8.58016"#"47.2951"#"10"#"Lis_test_B"
"2024-02-04 15:13:09"#"8.58072"#"47.2952"#"10.74"#"Lis_test_B"
"2024-02-04 15:13:25"#"8.58131"#"47.2954"#"9.82"#"Lis_test_B"
"2024-02-04 15:13:44"#"8.58191"#"47.2955"#"10.56"#"Lis_test_B"
"2024-02-04 15:14:02"#"8.5825"#"47.2957"#"10"#"Lis_test_B"
"2024-02-04 15:14:21"#"8.58311"#"47.2959"#"10"#"Lis_test_B"
"2024-02-04 15:14:39"#"8.58379"#"47.2961"#"10.56"#"Lis_test_B"
"2024-02-04 15:15:01"#"8.58459"#"47.2962"#"9.45"#"Lis_test_B"
"2024-02-04 15:15:18"#"8.58517"#"47.2962"#"9.07"#"Lis_test_B"
"2024-02-04 15:15:35"#"8.58581"#"47.2964"#"10.74"#"Lis_test_B"
"2024-02-04 15:15:52"#"8.58632"#"47.2967"#"10"#"Lis_test_B"
"2024-02-04 15:16:08"#"8.58673"#"47.2968"#"10"#"Lis_test_B"
"2024-02-04 15:16:24"#"8.5872"#"47.297"#"9.45"#"Lis_test_B"
"2024-02-04 15:16:41"#"8.58778"#"47.2971"#"10.19"#"Lis_test_B"
"2024-02-04 15:16:59"#"8.58825"#"47.2974"#"10.93"#"Lis_test_B"
"2024-02-04 15:17:16"#"8.58882"#"47.2976"#"11.3"#"Lis_test_B"
"2024-02-04 15:17:32"#"8.58941"#"47.2977"#"9.45"#"Lis_test_B"
"2024-02-04 15:17:48"#"8.59002"#"47.2978"#"10"#"Lis_test_B"
"2024-02-04 15:18:05"#"8.59058"#"47.2978"#"10"#"Lis_test_B"
"2024-02-04 15:18:21"#"8.59079"#"47.2977"#"6.85"#"Lis_test_B"
"2024-02-04 15:18:37"#"8.59019"#"47.2976"#"10.56"#"Lis_test_B"
"2024-02-04 15:18:53"#"8.58972"#"47.2974"#"10.37"#"Lis_test_B"
"2024-02-04 15:19:09"#"8.58916"#"47.2971"#"10"#"Lis_test_B"
"2024-02-04 15:19:25"#"8.58863"#"47.297"#"10"#"Lis_test_B"
"2024-02-04 15:19:41"#"8.58817"#"47.2968"#"10.56"#"Lis_test_B"
"2024-02-04 15:19:57"#"8.58764"#"47.2965"#"10.37"#"Lis_test_B"
"2024-02-04 15:20:14"#"8.58715"#"47.2963"#"10.56"#"Lis_test_B"
"2024-02-04 15:20:31"#"8.5866"#"47.2961"#"10.93"#"Lis_test_B"
"2024-02-04 15:20:48"#"8.58605"#"47.2959"#"9.82"#"Lis_test_B"
"2024-02-04 15:21:04"#"8.58557"#"47.2957"#"10.19"#"Lis_test_B"
"2024-02-04 15:21:19"#"8.58502"#"47.2956"#"9.82"#"Lis_test_B"
